Process ID, Service Time, Turn Around Time
1,80,1136
2,17,67
3,40,106
4,29,133
5,95,1746
6,48,230
7,22,252
8,24,275
9,20,294
10,60,1816
11,42,384
12,23,407
13,103,2255
14,23,478
15,95,1902
16,105,2252
17,41,610
18,35,644
19,37,681
20,5,683
21,50,733
22,12,745
23,47,782
24,6,787
25,91,1974
26,68,1989
27,4,2043
28,17,884
29,152,898
30,63,2277
31,77,2070
32,14,1058
33,79,2095
34,43,1176
35,13,1189
36,97,2136
37,44,1275
38,76,2155
39,37,1355
40,87,2188
41,18,1420
42,21,1439
43,42,1479
44,11,1487
45,31,1496
46,55,2154
47,41,1571
48,18,1588
49,26,1560
50,37,1555
