Process ID, Service Time, Turn Around Time
1,80,80
2,17,97
3,40,136
4,29,163
5,95,257
6,48,305
7,22,327
8,24,350
9,20,369
10,60,428
11,42,469
12,23,492
13,103,594
14,23,616
15,95,705
16,105,809
17,41,848
18,35,882
19,37,919
20,5,921
21,50,971
22,12,983
23,47,1020
24,6,1025
25,91,1115
26,68,1180
27,4,1407
28,17,1194
29,152,1343
30,63,1406
31,77,1484
32,14,1497
33,79,1573
34,43,1614
35,13,1627
36,97,1720
37,44,1760
38,76,1833
39,37,1866
40,87,1953
41,18,1968
42,21,1987
43,42,2027
44,11,2035
45,31,2044
46,55,2092
47,41,2124
48,18,2141
49,26,2068
50,37,2063
